704 羽球精品赛事,rtp://225.1.2.1:5002
705 曲艺大观高清,rtp://225.1.2.53:5002
707 休闲体育,rtp://225.1.1.157:5002
710 超清乐享,rtp://225.1.2.190:5002
719 4K直播,rtp://225.1.2.206:5002
720 宝贝爱学,rtp://225.1.1.132:5002
763 天视商城,rtp://225.1.2.185:5002
764 天视好物,rtp://225.1.2.186:5002
765 津彩生活,rtp://225.1.2.187:5002
766 经典老片场高清,rtp://225.1.2.123:5002
767 津彩潮流,rtp://225.1.2.188:5002
768 天视家居,rtp://225.1.1.243:5002
769 天视优选,rtp://225.1.1.244:5002
777 经典重温,rtp://225.1.2.122:5002
787 快乐英语ABC高清,rtp://225.1.2.182:5002
801 801频道,rtp://225.1.1.78:5002
802 802频道,rtp://225.1.1.79:5002
803 IPTV足球,rtp://225.1.1.105:5002
804 赛事频道,rtp://225.1.1.107:5002
805 赛事频道（测试）,rtp://225.1.1.106:5002
807 IPTV春晚,rtp://225.1.1.201:5002
808 星星直播高清,rtp://225.1.2.130:5002
989 功能测试,rtp://225.1.2.128:5002
